Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SE4616_J4816_S229_L001_R1_001	SE4616_J4816_S229_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10096.0	0.0	250.0	52.0	4.932646592709984	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4617_J4816_S230_L001_R1_001	SE4617_J4816_S230_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7321.0	0.0	250.0	54.0	6.133041934162	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4618_J4816_S231_L001_R1_001	SE4618_J4816_S231_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10468.0	0.0	250.0	53.0	5.129919755445166	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4619_J4816_S232_L001_R1_001	SE4619_J4816_S232_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12152.0	0.0	250.0	51.0	5.052666227781436	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4620_J4816_S233_L001_R1_001	SE4620_J4816_S233_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11771.0	0.0	250.0	56.0	4.961345680061167	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4621_J4816_S234_L001_R1_001	SE4621_J4816_S234_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9583.0	0.0	250.0	54.0	5.593238025670458	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4622_J4816_S235_L001_R1_001	SE4622_J4816_S235_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9390.0	0.0	250.0	52.0	5.601703940362087	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4623_J4816_S236_L001_R1_001	SE4623_J4816_S236_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8961.0	0.0	250.0	51.0	5.602053342260908	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4624_J4816_S237_L001_R1_001	SE4624_J4816_S237_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10784.0	0.0	250.0	52.0	5.0816023738872405	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4625_J4816_S238_L001_R1_001	SE4625_J4816_S238_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7934.0	0.0	250.0	53.0	6.440635240736073	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4626_J4816_S239_L001_R1_001	SE4626_J4816_S239_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9078.0	0.0	250.0	52.0	4.935007710949548	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4627_J4816_S240_L001_R1_001	SE4627_J4816_S240_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8817.0	0.0	250.0	53.0	5.194510604514007	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4628_J4816_S241_L001_R1_001	SE4628_J4816_S241_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9248.0	0.0	250.0	53.0	5.27681660899654	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4629_J4816_S242_L001_R1_001	SE4629_J4816_S242_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9818.0	0.0	250.0	55.0	4.6343450804644535	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4630_J4816_S243_L001_R1_001	SE4630_J4816_S243_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9865.0	0.0	250.0	52.0	4.66294982260517	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4631_J4816_S244_L001_R1_001	SE4631_J4816_S244_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10320.0	0.0	250.0	52.0	5.058139534883721	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4632_J4816_S245_L001_R1_001	SE4632_J4816_S245_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10308.0	0.0	250.0	52.0	5.6072953046177725	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4633_J4816_S246_L001_R1_001	SE4633_J4816_S246_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9539.0	0.0	250.0	52.0	5.315022539050215	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4634_J4816_S247_L001_R1_001	SE4634_J4816_S247_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9092.0	0.0	250.0	51.0	5.125384953805543	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4635_J4816_S248_L001_R1_001	SE4635_J4816_S248_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11572.0	0.0	250.0	52.0	5.003456619426201	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4636_J4816_S249_L001_R1_001	SE4636_J4816_S249_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12827.0	0.0	250.0	51.0	4.498323848132845	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4637_J4816_S250_L001_R1_001	SE4637_J4816_S250_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12282.0	0.0	250.0	52.0	4.526950008141997	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4638_J4816_S251_L001_R1_001	SE4638_J4816_S251_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8383.0	0.0	250.0	53.0	5.403793391387332	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4639_J4816_S252_L001_R1_001	SE4639_J4816_S252_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8246.0	0.0	250.0	52.0	6.027164685908319	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4640_J4816_S253_L001_R1_001	SE4640_J4816_S253_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7945.0	0.0	250.0	51.0	6.05412208936438	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4641_J4816_S254_L001_R1_001	SE4641_J4816_S254_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8811.0	0.0	250.0	52.0	6.3783906480535695	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4642_J4816_S255_L001_R1_001	SE4642_J4816_S255_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9149.0	0.0	250.0	53.0	5.836703464859547	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4643_J4816_S256_L001_R1_001	SE4643_J4816_S256_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13979.0	0.0	250.0	52.0	4.9145146290864865	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4644_J4816_S257_L001_R1_001	SE4644_J4816_S257_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10825.0	0.0	250.0	52.0	4.979214780600462	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4645_J4816_S258_L001_R1_001	SE4645_J4816_S258_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8560.0	0.0	250.0	52.0	5.514018691588785	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4646_J4816_S259_L001_R1_001	SE4646_J4816_S259_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9197.0	0.0	250.0	52.0	5.393062955311515	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4647_J4816_S260_L001_R1_001	SE4647_J4816_S260_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11137.0	0.0	250.0	54.0	4.8397234443746076	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4648_J4816_S261_L001_R1_001	SE4648_J4816_S261_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10116.0	0.0	250.0	52.0	4.98220640569395	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
