"","Feature ID","Taxonomy","Consensus","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","SE4602_J4816","SE4603_J4816","SE4604_J4816","SE4605_J4816","SE4606_J4816","SE4607_J4816","SE4608_J4816","SE4609_J4816","SE4610_J4816","SE4611_J4816","SE4612_J4816","SE4613_J4816","SE4614_J4816","SE4615_J4816","SE4616_J4816","SE4617_J4816","SE4618_J4816","SE4619_J4816","SE4620_J4816","SE4621_J4816","SE4622_J4816","SE4623_J4816","SE4624_J4816","SE4625_J4816","SE4626_J4816","SE4627_J4816","SE4628_J4816","SE4629_J4816","SE4630_J4816","SE4631_J4816","SE4632_J4816","SE4633_J4816","SE4634_J4816","SE4635_J4816","SE4636_J4816","SE4637_J4816","SE4638_J4816","SE4639_J4816","SE4640_J4816","SE4641_J4816","SE4642_J4816","SE4643_J4816","SE4644_J4816","SE4645_J4816","SE4646_J4816","SE4647_J4816","SE4648_J4816"
"11","d2327915c6d74bcaeebeb213fb8f2ad9","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",0.9,"Penicillium","1CB1C9C1-36B9-11D5-9548-00D0592D548C","9257","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable","Microfungus","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))",95,40,22,30,27,41,34,45,95,110,41,36,42,22,6,0,17,13,64,62,0,14,42,28,71,75,54,90,0,0,0,0,0,5,0,0,8,0,14,16,0,15,5,11,0,12,30
"12","67f0780605e349991b48438590a399a1","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces",0.8,"Talaromyces","1CB1CBD6-36B9-11D5-9548-00D0592D548C","5347","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",83,90,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,34,0,0,0,556,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","29b9ff408c85e7c6595597e284cdf1a9","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces",0.8,"Talaromyces","1CB1CBD6-36B9-11D5-9548-00D0592D548C","5347","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,15,180,462,219,0,0,0,0,0,0,0,0,0,0,0,0,158,124,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2c426dcfc66fe703a65bf9985524269b","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae",0.6,"Lasiosphaeriaceae","1CB1CD4A-36B9-11D5-9548-00D0592D548C","80930","9","Saprotroph","Undefined Saprotroph","Probable","Microfungus","NULL","Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,0,102,259,708,36,0,0,0,0,67,6,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","139c18e30c485cfa1ddb94b8b4f07418","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__unidentified;g__unidentified;s__unidentified",1,"Lecanorales","1CB1CE34-36B9-11D5-9548-00D0592D548C","90480","7","Pathotroph-Symbiotroph","Lichen Parasite-Lichenized","Probable","Microfungus-Thallus","NULL","Lichenized with green algae, occasionally lichenicolous, on rocks, mosses and wood (Cannon & Kirk 2007); ...an order of mostly lichen-forming fungi (Kirk et al. 2008)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268); Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))",0,0,0,0,0,0,0,0,0,0,0,0,14,48,134,0,305,27,0,0,0,0,0,0,224,7,0,0,0,0,3,17,85,0,0,168,0,0,0,0,0,0,71,0,8,0,8
"16","76c6a3d7d41a8dec735d2cd8544012c3","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma",0.8,"Tricholomataceae","008764C7-3F16-4577-B343-C50EF7B78211","81487","9","Pathotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite","Probable","Agaricoid","NULL","Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","f7ce2fb1433fa9fbb08fda2ff70fe6d6","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__unidentified",0.6,"Clavariaceae","1CB18368-36B9-11D5-9548-00D0592D548C","80606","9","Saprotroph-Symbiotroph","Lichenized-Undefined Saprotroph","Probable","Clavarioid","NULL","Most species are presumed saprobic on the ground or rotten wood, but many Multiclavula species are lichenized with green algae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,198,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,605,0,0,0,0,0,0,0,0,0,0,0
"18","74e3e1f2f2035f2d98acbae7201791c1","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola",0.8,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,228,130,0,261,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","16839008335b780030a82977fa4f8762","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola",0.8,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,691,0,0,0,0,0,0,0,0,0,0,38,21,49,100,50,42,0,0,0,0,0
"20","84426661e61cc2af6b674affba90a5cb","k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Ramicandelaber;s__unidentified",0.7,"Ramicandelaber","CE97F1AF-A162-4A78-B4EA-64943ABA8370","28497","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",30,23,0,0,0,0,0,0,15,0,0,0,0,20,45,0,7,57,0,0,0,0,0,0,0,3,57,11,53,153,11,37,0,0,0,72,0,0,0,0,0,0,115,103,83,64,70
"21","82a2f1859bb0745e78fa27beeff224d7","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium",0.6,"Purpureocillium","D1613AF8-1A23-429D-A4DE-D1610DAFF28E","519529","13","Pathotroph","Fungal Parasite","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,85,39,24,102,39,49,0,0,0,0,0,0,0,0,0,0,19,0,0,135,0,0,0,0
"22","b2a5231ba6856ba0af07a9de3d35ad48","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron",0.8,"Myxotrichaceae","1CB1CD78-36B9-11D5-9548-00D0592D548C","81054","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Undefined Saprotroph","Probable","Microfungus","NULL","Many species are cellulolytic, occurring on paper, straw etc. Others are mycorrhizal associated with roots of Ericaceae and Epacridaceae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,381,339,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"23","603942df96bbd57c91b42ede29402d52","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma",0.9,"Trichoderma","1CB1CC28-36B9-11D5-9548-00D0592D548C","10282","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Probable","Microfungus","Soft Rot","Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))",25,68,0,0,0,0,84,40,0,41,0,0,0,27,0,25,59,43,0,36,0,26,83,18,44,68,22,28,14,0,35,23,0,0,0,0,0,0,0,0,0,0,0,0,42,0,18
"24","d7fc7f806c02c79a651eef96df410692","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified",0.6,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,79,124,202,212,125,0,0,0,0,0
"25","aead3e93ecbe025463727650f6ec9960","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys",0.6,"Bionectriaceae","1CB1CCCB-36B9-11D5-9548-00D0592D548C","82088","9","Pathotroph-Saprotroph","Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph","Probable","Microfungus","NULL","Associated with plant material, especially on wood and herbaceous debris, or with algae, bryophyte or other fungi, rarely pathogenic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",13,13,60,18,32,13,0,0,8,16,22,13,0,0,0,15,101,20,0,9,0,11,65,24,7,6,0,0,0,0,0,0,0,0,0,0,3,147,0,6,29,28,12,0,29,22,76
"26","dde135f644fe53989aa94f66ae603ba6","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified",0.7,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,21,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","b91c7b40deb0b8730849b512d613b2f7","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae;g__Phallus",0.7,"Phallaceae","1CB1CD91-36B9-11D5-9548-00D0592D548C","81146","9","Saprotroph","Litter Saprotroph-Soil Saprotroph-Wood Saprotroph","Probable","Phalloid","NULL","Common name - stinkhorn; Saprobic, on soil or decaying wood, with spores dispersed by insects that are attracted to the fruit bodies by their distictive foetid smell (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",61,32,34,17,20,18,25,32,77,94,80,49,0,17,0,5,42,20,12,33,16,58,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"28","0035ff9bef2527444c295c1d6b047af8","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium",0.8,"Pseudeurotiaceae","1CB1CDAD-36B9-11D5-9548-00D0592D548C","81222","9","Saprotroph","Plant Saprotroph-Wood Saprotroph","Probable","Microfungus","NULL","Saprobic on woody tissue and rotting vegetation, often isolated from soil (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,0,73,89,99,200,0,0,0,0,80,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,13,0,0,7,46,0,0,0,0,0
"29","6395bb5b2f2a139f5d5d6d4fb37424b2","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",1,"Penicillium","1CB1C9C1-36B9-11D5-9548-00D0592D548C","9257","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable","Microfungus","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))",0,0,0,36,66,92,0,0,0,0,46,0,0,0,0,0,0,0,78,47,0,0,60,23,35,39,43,35,49,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","a62e082cdeddc76dabf773d69173deca","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae",0.8,"Chaetosphaeriaceae","A2975E8A-801C-4A1F-9099-3C1B24D8A295","82100","9","Saprotroph","Plant Saprotroph-Wood Saprotroph","Probable","Microfungus","NULL","Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,10,2,0,0,0,0,4,3,2,9,0,18,74,56,14,32,68,0,0,7,0,25,27,0,0,0,0,0,0,49,10,4,30,58,59,0,0,0,0,0,0,16,19,104,16,12
"31","9a84923c5370061b8f90ba41729be767","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae",0.6,"Tricholomataceae","008764C7-3F16-4577-B343-C50EF7B78211","81487","9","Pathotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite","Probable","Agaricoid","NULL","Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726
"32","9fcdd82f0b0817101554f3228200bc15","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Monascus",0.555555555555556,"Monascus","1CB1C901-36B9-11D5-9548-00D0592D548C","3247","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",0,0,17,9,20,50,70,55,0,6,30,8,18,13,30,12,6,15,21,79,40,7,16,18,3,0,3,2,0,10,4,0,0,62,72,0,0,0,0,0,0,0,2,8,0,0,10
