"","Taxonomy","Forest_A1","Forest_A2","Forest_B1","Forest_B2","Forest_C1","Forest_C2","Forest_Interior_A1","Forest_Interior_A2","Forest_Interior_B1","Forest_Interior_B2","Forest_Interior_C1","Forest_Interior_C2","Forest_Exterior_A1","Forest_Exterior_A2","Forest_Exterior_B1","Forest_Exterior_B2","Forest_Exterior_C1","Forest_Exterior_C2","Pioneer_Near_A1","Pioneer_Near_A2","Pioneee_Near_B1","Pioneer_Near_B2","Pioneer_Near_C1","Pioneer_Near_C2","Pioneer_Far_A1","Pioneer_Far_A2","Pioneer_Fa_B1","Pioneer_Far_B2","Pioneer_Far_C1","Pioneer_Far_C2","Grass_Near_A1","Grass_Near_A2","Grass_Near_B1","Grass_Near_B2","Grass_Near_C1","Gras_Near_C2","UMNR_A1","UMNR A2","UMNR B1","UMNR B2","UMNR_C1","UMNR_C2","Grass_Far_A2","Grass_Far_B1","Grass_Fae_B2","Grass_Far_C1 ","Grass_Far_C2","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource"
"17","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae",71,58,112,63,54,100,90,138,109,178,118,71,66,172,100,54,94,54,84,117,0,22,28,21,0,0,32,53,57,58,97,164,66,0,12,33,7,0,0,8,7,0,9,36,31,113,84,"Chaetosphaeriaceae","A2975E8A-801C-4A1F-9099-3C1B24D8A295","82100","9","Saprotroph","Plant Saprotroph-Wood Saprotroph","Probable","Microfungus","NULL","Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"18","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",0,0,0,0,0,0,0,0,0,0,71,347,0,0,0,0,0,0,120,73,83,0,90,0,89,61,56,56,0,0,0,0,0,0,422,0,74,341,264,137,125,370,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",231,203,0,0,0,0,146,317,402,306,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,54,105,179,144,209,0,0,0,13,0,"Penicillium","1CB1C9C1-36B9-11D5-9548-00D0592D548C","9257","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable","Microfungus","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
"20","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified",7,0,0,0,0,0,0,120,0,0,0,0,200,248,10,103,258,2,0,0,3,9,0,0,6,0,0,0,0,0,246,0,0,382,3,94,0,0,0,0,0,0,329,31,130,86,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae",0,17,26,0,0,0,0,0,0,0,0,0,0,0,5,6,12,0,0,0,0,21,0,0,244,92,374,285,476,165,0,0,0,0,0,0,24,121,55,96,109,100,0,0,9,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,490,311,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,"Myxotrichaceae","1CB1CD78-36B9-11D5-9548-00D0592D548C","81054","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Undefined Saprotroph","Probable","Microfungus","NULL","Many species are cellulolytic, occurring on paper, straw etc. Others are mycorrhizal associated with roots of Ericaceae and Epacridaceae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"23","k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__unidentified;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,178,87,47,48,11,4,730,116,103,167,412,10,0,0,0,0,0,0,3,0,114,53,11,8,0,0,0,0,0,0,0,4,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,5,87,24,0,382,107,0,0,0,0,0,0,0,0,29,0,57,18,78,0,151,0,0,214,0,0,0,0,0,0,83,357,0,205,308,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"27","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae",12,26,0,0,0,0,0,0,8,5,0,0,9,61,29,19,84,466,0,0,2,0,37,0,0,0,0,0,0,4,361,111,62,82,18,54,0,0,0,0,0,0,52,176,84,123,178,"Herpotrichiellaceae","1CB1CD37-36B9-11D5-9548-00D0592D548C","80856","9","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Probable","Facultative Yeast-Microfungus","NULL","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"28","k__Fungi;p__Ascomycota;c__Sordariomycetes",0,0,0,0,0,0,0,0,0,10,0,0,0,234,0,35,54,34,0,0,0,0,0,0,0,0,0,0,6,0,69,0,0,56,118,101,0,0,0,0,0,0,322,0,0,963,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",73,64,132,76,0,26,115,132,50,46,21,17,57,54,48,67,28,49,0,27,28,60,86,0,17,0,15,21,0,62,38,29,55,32,23,18,0,172,0,15,0,0,57,50,54,43,31,"Penicillium","1CB1C9C1-36B9-11D5-9548-00D0592D548C","9257","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable","Microfungus","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
"30","k__Fungi;p__Ascomycota;c__Eurotiomycetes",0,0,0,0,0,0,0,13,0,0,0,0,123,0,206,11,0,155,0,0,54,211,0,124,0,0,0,0,0,0,212,223,222,280,0,113,0,0,0,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,38,193,0,22,0,0,0,0,0,0,0,125,0,37,4,315,338,10,0,4,77,0,287,0,0,0,0,0,0,73,0,9,85,190,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"34","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,143,4,0,7,0,0,0,0,0,0,589,81,112,143,155,292,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__unidentified;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,38,43,218,111,30,0,49,99,23,27,5,0,0,0,0,0,9,11,2,29,138,152,242,11,0,0,0,0,0,0,17,112,32,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,9,699,0,0,0,0,0,0,0,0,0,0,0,0,78,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clavariaceae","1CB18368-36B9-11D5-9548-00D0592D548C","80606","9","Saprotroph-Symbiotroph","Lichenized-Undefined Saprotroph","Probable","Clavarioid","NULL","Most species are presumed saprobic on the ground or rotten wood, but many Multiclavula species are lichenized with green algae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"38","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma",38,24,24,50,40,61,71,83,48,37,74,24,49,25,24,22,25,18,66,54,58,78,109,44,9,9,8,11,14,23,27,14,20,15,18,14,8,0,0,12,8,12,0,11,12,9,9,"Ganodermataceae","1CB1CD25-36B9-11D5-9548-00D0592D548C","80782","9","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Probable","Polyporoid","White Rot","Lignicolous, causing sometimes agressive white rots of timber (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"40","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",95,40,22,30,27,41,34,45,95,110,41,36,42,22,6,0,17,13,64,62,0,14,42,28,71,75,54,90,0,0,0,0,0,5,0,0,8,0,14,16,0,15,5,11,0,12,30,"Penicillium","1CB1C9C1-36B9-11D5-9548-00D0592D548C","9257","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable","Microfungus","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
"42","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,49,0,0,0,0,0,0,0,0,0,107,195,281,126,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales",10,14,20,20,13,10,36,34,10,11,20,0,7,18,49,0,71,90,0,0,58,30,0,0,34,16,2,0,7,28,39,14,13,8,0,147,16,4,14,13,19,0,98,47,67,64,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces",83,90,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,34,0,0,0,556,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Talaromyces","1CB1CBD6-36B9-11D5-9548-00D0592D548C","5347","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"46","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces",0,0,15,180,462,219,0,0,0,0,0,0,0,0,0,0,0,0,158,124,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Talaromyces","1CB1CBD6-36B9-11D5-9548-00D0592D548C","5347","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"47","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae",0,0,102,259,708,36,0,0,0,0,67,6,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiosphaeriaceae","1CB1CD4A-36B9-11D5-9548-00D0592D548C","80930","9","Saprotroph","Undefined Saprotroph","Probable","Microfungus","NULL","Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"48","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__unidentified;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,40,0,0,0,446,22,45,98,26,7,0,0,0,0,0,0,0,0,0,0,0,0,34,13,79,39,30,19,0,0,0,0,0,0,11,5,147,26,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","k__Fungi;p__Ascomycota;c__Eurotiomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__unidentified",9,18,0,0,0,0,6,2,4,0,0,0,13,35,24,24,41,243,0,0,0,9,0,0,0,0,0,0,4,3,67,69,19,13,5,20,0,0,0,0,0,0,71,92,85,107,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__unidentified;g__unidentified;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,14,48,134,0,305,27,0,0,0,0,0,0,224,7,0,0,0,0,3,17,85,0,0,168,0,0,0,0,0,0,71,0,8,0,8,"Lecanorales","1CB1CE34-36B9-11D5-9548-00D0592D548C","90480","7","Pathotroph-Symbiotroph","Lichen Parasite-Lichenized","Probable","Microfungus-Thallus","NULL","Lichenized with green algae, occasionally lichenicolous, on rocks, mosses and wood (Cannon & Kirk 2007); ...an order of mostly lichen-forming fungi (Kirk et al. 2008)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268); Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))"
"53","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",0,0,124,143,87,135,0,0,0,0,152,87,0,0,0,0,0,0,207,149,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma",0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tricholomataceae","008764C7-3F16-4577-B343-C50EF7B78211","81487","9","Pathotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite","Probable","Agaricoid","NULL","Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"55","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,198,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,605,0,0,0,0,0,0,0,0,0,0,0,"Clavariaceae","1CB18368-36B9-11D5-9548-00D0592D548C","80606","9","Saprotroph-Symbiotroph","Lichenized-Undefined Saprotroph","Probable","Clavarioid","NULL","Most species are presumed saprobic on the ground or rotten wood, but many Multiclavula species are lichenized with green algae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"56","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,228,130,0,261,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"57","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,691,0,0,0,0,0,0,0,0,0,0,38,21,49,100,50,42,0,0,0,0,0,"Leohumicola","FFF3FDAA-784F-41C0-AF4B-12069962ABF7","500248","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"58","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales",0,0,60,86,40,76,70,66,0,28,58,51,0,0,28,0,0,31,0,26,33,97,67,39,0,0,72,58,0,0,0,0,0,26,41,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Ramicandelaber;s__unidentified",30,23,0,0,0,0,0,0,15,0,0,0,0,20,45,0,7,57,0,0,0,0,0,0,0,3,57,11,53,153,11,37,0,0,0,72,0,0,0,0,0,0,115,103,83,64,70,"Ramicandelaber","CE97F1AF-A162-4A78-B4EA-64943ABA8370","28497","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"60","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",0,0,0,0,0,0,85,44,26,0,0,0,139,53,38,0,29,39,51,19,46,78,53,36,0,0,0,0,16,36,53,30,0,57,35,0,0,0,0,0,0,0,0,33,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium",0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,85,39,24,102,39,49,0,0,0,0,0,0,0,0,0,0,19,0,0,135,0,0,0,0,"Purpureocillium","D1613AF8-1A23-429D-A4DE-D1610DAFF28E","519529","13","Pathotroph","Fungal Parasite","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"62","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified",20,38,0,0,0,0,0,0,20,0,0,0,0,0,128,0,23,290,0,0,0,0,0,0,0,0,0,0,12,30,17,42,17,0,0,116,0,0,0,0,0,0,76,22,12,131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales",8,3,0,6,0,12,11,0,2,2,0,0,12,13,32,6,34,15,2,12,0,0,17,9,0,0,4,4,0,0,68,28,243,91,227,48,4,0,0,0,2,0,0,4,0,47,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",0,0,0,0,0,0,128,124,0,13,0,0,84,38,11,27,0,0,38,24,46,89,42,20,0,0,0,0,0,0,40,24,12,87,79,0,0,0,0,0,0,0,0,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae",6,17,85,167,137,198,19,11,0,12,97,35,0,0,0,0,0,5,0,14,0,0,8,8,20,81,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
